Localité;;"T05M4E5 [°C]";"T05M4E5 [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;20,0
13/08/2022;20:00:00;24,7;61,9
13/08/2022;20:15:00;24,7;62,1
13/08/2022;20:30:00;24,7;62,3
13/08/2022;20:45:00;24,6;62,5
13/08/2022;21:00:00;24,6;62,8
13/08/2022;21:15:00;24,6;62,7
13/08/2022;21:30:00;24,5;62,8
13/08/2022;21:45:00;24,4;63,1
13/08/2022;22:00:00;24,4;63,2
13/08/2022;22:15:00;24,4;63,2
13/08/2022;22:30:00;24,3;63,2
13/08/2022;22:45:00;24,3;63,3
13/08/2022;23:00:00;24,3;63,3
13/08/2022;23:15:00;24,3;63,4
13/08/2022;23:30:00;24,2;63,4
13/08/2022;23:45:00;24,2;63,3
14/08/2022;00:00:00;24,1;63,3
14/08/2022;00:15:00;24,1;63,3
14/08/2022;00:30:00;24,1;63,4
14/08/2022;00:45:00;24,0;63,4
14/08/2022;01:00:00;24,0;63,6
14/08/2022;01:15:00;23,9;63,8
14/08/2022;01:30:00;23,9;64,0
14/08/2022;01:45:00;23,9;64,2
14/08/2022;02:00:00;23,8;64,4
14/08/2022;02:15:00;23,7;64,7
14/08/2022;02:30:00;23,7;65,0
14/08/2022;02:45:00;23,7;65,2
14/08/2022;03:00:00;23,6;65,5
14/08/2022;03:15:00;23,5;66,1
14/08/2022;03:30:00;23,4;66,6
14/08/2022;03:45:00;23,4;66,9
14/08/2022;04:00:00;23,3;67,2
14/08/2022;04:15:00;23,2;67,6
14/08/2022;04:30:00;23,2;68,0
14/08/2022;04:45:00;23,2;68,2
14/08/2022;05:00:00;23,2;68,2
14/08/2022;05:15:00;23,1;68,1
14/08/2022;05:30:00;23,0;68,3
14/08/2022;05:45:00;23,1;68,2
14/08/2022;06:00:00;23,2;67,9
14/08/2022;06:15:00;23,1;67,8
14/08/2022;06:30:00;23,1;67,8
14/08/2022;06:45:00;23,1;67,8
14/08/2022;07:00:00;23,0;68,0
14/08/2022;07:15:00;22,9;68,3
14/08/2022;07:30:00;22,9;68,5
14/08/2022;07:45:00;22,9;68,4
14/08/2022;08:00:00;23,0;68,4
14/08/2022;08:15:00;23,0;68,4
14/08/2022;08:30:00;23,0;68,4
14/08/2022;08:45:00;23,1;68,1
14/08/2022;09:00:00;23,1;67,8
14/08/2022;09:15:00;23,2;67,4
14/08/2022;09:30:00;23,2;67,8
14/08/2022;09:45:00;23,2;67,9
14/08/2022;10:00:00;23,3;67,5
14/08/2022;10:15:00;23,3;67,3
14/08/2022;10:30:00;23,3;66,8
14/08/2022;10:45:00;23,4;66,3
14/08/2022;11:00:00;23,5;66,0
14/08/2022;11:15:00;23,7;65,6
14/08/2022;11:30:00;23,7;65,3
14/08/2022;11:45:00;24,0;64,4
14/08/2022;12:00:00;24,1;63,9
14/08/2022;12:15:00;24,1;64,3
14/08/2022;12:30:00;24,4;63,4
14/08/2022;12:45:00;24,5;62,7
14/08/2022;13:00:00;24,5;62,7
14/08/2022;13:15:00;24,8;61,8
14/08/2022;13:30:00;25,1;60,9
14/08/2022;13:45:00;24,9;59,9
14/08/2022;14:00:00;25,3;58,3
14/08/2022;14:15:00;25,2;58,4
14/08/2022;14:30:00;25,3;58,1
14/08/2022;14:45:00;25,7;57,0
14/08/2022;15:00:00;25,9;56,7
14/08/2022;15:15:00;26,2;55,9
14/08/2022;15:30:00;25,9;56,3
14/08/2022;15:45:00;26,1;54,6
14/08/2022;16:00:00;26,0;54,3
14/08/2022;16:15:00;25,8;54,4
14/08/2022;16:30:00;26,0;54,3
14/08/2022;16:45:00;26,1;54,0
14/08/2022;17:00:00;26,0;54,1
14/08/2022;17:15:00;25,9;54,3
14/08/2022;17:30:00;25,9;54,1
14/08/2022;17:45:00;25,7;55,1
14/08/2022;18:00:00;25,6;55,7
14/08/2022;18:15:00;25,6;56,1
14/08/2022;18:30:00;25,6;56,3
14/08/2022;18:45:00;25,6;56,4
14/08/2022;19:00:00;25,5;56,8
14/08/2022;19:15:00;25,5;57,4
14/08/2022;19:30:00;25,5;57,8
14/08/2022;19:45:00;25,4;58,1
14/08/2022;20:00:00;25,4;58,4
14/08/2022;20:15:00;25,3;58,7
14/08/2022;20:30:00;25,3;59,0
14/08/2022;20:45:00;25,2;59,2
14/08/2022;21:00:00;25,2;59,6
14/08/2022;21:15:00;25,1;60,0
14/08/2022;21:30:00;25,0;60,4
14/08/2022;21:45:00;25,0;60,5
14/08/2022;22:00:00;24,9;60,7
14/08/2022;22:15:00;24,9;60,7
14/08/2022;22:30:00;24,9;60,5
14/08/2022;22:45:00;24,8;60,5
14/08/2022;23:00:00;24,8;60,7
14/08/2022;23:15:00;24,8;61,0
14/08/2022;23:30:00;24,8;61,5
14/08/2022;23:45:00;24,8;61,7
15/08/2022;00:00:00;24,7;62,1
15/08/2022;00:15:00;24,6;63,2
15/08/2022;00:30:00;24,5;64,0
15/08/2022;00:45:00;24,5;63,8
15/08/2022;01:00:00;24,5;63,8
15/08/2022;01:15:00;24,5;63,8
15/08/2022;01:30:00;24,3;65,0
15/08/2022;01:45:00;24,1;65,4
15/08/2022;02:00:00;24,1;65,6
15/08/2022;02:15:00;24,0;66,0
15/08/2022;02:30:00;23,9;66,1
15/08/2022;02:45:00;23,9;66,1
15/08/2022;03:00:00;24,0;65,8
15/08/2022;03:15:00;24,1;65,4
15/08/2022;03:30:00;24,0;66,1
15/08/2022;03:45:00;24,0;66,2
15/08/2022;04:00:00;24,0;65,8
15/08/2022;04:15:00;24,0;65,7
15/08/2022;04:30:00;23,9;66,1
15/08/2022;04:45:00;23,9;66,4
15/08/2022;05:00:00;23,9;66,5
15/08/2022;05:15:00;23,9;66,4
15/08/2022;05:30:00;23,9;66,5
15/08/2022;05:45:00;23,7;67,0
15/08/2022;06:00:00;23,6;67,5
15/08/2022;06:15:00;23,5;67,9
15/08/2022;06:30:00;23,5;68,2
15/08/2022;06:45:00;23,4;68,5
15/08/2022;07:00:00;23,4;68,8
15/08/2022;07:15:00;23,4;68,9
15/08/2022;07:30:00;23,4;69,1
15/08/2022;07:45:00;23,4;69,2
15/08/2022;08:00:00;23,4;69,2
15/08/2022;08:15:00;23,4;68,9
15/08/2022;08:30:00;23,4;69,1
15/08/2022;08:45:00;23,3;69,2
