Localité;;"T02M3RE [°C]";"T02M3RE [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
21/08/2022;02:00:00;24,8;60,5
21/08/2022;02:15:00;24,8;60,6
21/08/2022;02:30:00;24,8;60,7
21/08/2022;02:45:00;24,8;60,7
21/08/2022;03:00:00;24,8;60,8
21/08/2022;03:15:00;24,8;60,9
21/08/2022;03:30:00;24,8;60,9
21/08/2022;03:45:00;24,8;61,0
21/08/2022;04:00:00;24,8;60,9
21/08/2022;04:15:00;24,8;61,0
21/08/2022;04:30:00;24,8;61,0
21/08/2022;04:45:00;24,8;61,1
21/08/2022;05:00:00;24,8;61,3
21/08/2022;05:15:00;24,8;61,2
21/08/2022;05:30:00;24,8;61,2
21/08/2022;05:45:00;24,8;61,3
21/08/2022;06:00:00;24,8;61,4
21/08/2022;06:15:00;24,8;61,4
21/08/2022;06:30:00;24,8;61,4
21/08/2022;06:45:00;24,8;61,5
21/08/2022;07:00:00;24,8;61,6
21/08/2022;07:15:00;24,8;61,7
21/08/2022;07:30:00;24,8;61,6
21/08/2022;07:45:00;24,8;61,6
21/08/2022;08:00:00;24,8;61,6
21/08/2022;08:15:00;24,8;61,6
21/08/2022;08:30:00;24,8;61,6
21/08/2022;08:45:00;24,8;61,9
21/08/2022;09:00:00;24,5;58,7
21/08/2022;09:15:00;24,3;56,1
21/08/2022;09:30:00;24,1;54,3
21/08/2022;09:45:00;24,0;53,4
21/08/2022;10:00:00;24,0;53,8
21/08/2022;10:15:00;24,0;53,5
21/08/2022;10:30:00;23,9;52,6
21/08/2022;10:45:00;23,8;51,0
21/08/2022;11:00:00;23,8;50,1
21/08/2022;11:15:00;23,8;49,9
21/08/2022;11:30:00;23,7;49,3
21/08/2022;11:45:00;23,7;48,7
21/08/2022;12:00:00;23,7;48,8
21/08/2022;12:15:00;23,8;48,7
21/08/2022;12:30:00;23,8;49,2
21/08/2022;12:45:00;23,9;49,2
21/08/2022;13:00:00;23,9;49,5
21/08/2022;13:15:00;23,9;49,0
21/08/2022;13:30:00;23,9;49,6
21/08/2022;13:45:00;24,0;50,2
21/08/2022;14:00:00;24,0;49,6
21/08/2022;14:15:00;24,0;49,5
21/08/2022;14:30:00;23,9;49,3
21/08/2022;14:45:00;24,0;49,3
21/08/2022;15:00:00;24,0;49,2
21/08/2022;15:15:00;24,0;49,3
21/08/2022;15:30:00;24,0;49,3
21/08/2022;15:45:00;24,1;50,1
21/08/2022;16:00:00;24,2;50,8
21/08/2022;16:15:00;24,3;51,4
21/08/2022;16:30:00;24,4;51,9
21/08/2022;16:45:00;24,5;52,3
21/08/2022;17:00:00;24,5;52,8
21/08/2022;17:15:00;24,6;53,1
21/08/2022;17:30:00;24,6;53,4
21/08/2022;17:45:00;24,6;53,9
21/08/2022;18:00:00;24,6;54,3
21/08/2022;18:15:00;24,7;54,6
21/08/2022;18:30:00;24,7;54,8
21/08/2022;18:45:00;24,7;55,1
21/08/2022;19:00:00;24,8;55,4
21/08/2022;19:15:00;24,8;55,7
21/08/2022;19:30:00;24,8;56,0
21/08/2022;19:45:00;24,8;56,2
21/08/2022;20:00:00;24,8;56,5
